indicator_id,indicator_name,category
2_3_diplomatic,Diplomatic,2_3
2_3_australian_government_endorsed_events5,Australian Government Endorsed Events5,2_3
2_3_religious_work,Religious Work,2_3
2_3_sporting_activities,Sporting Activities,2_3
2_3_government_agreement,Government Agreement,2_3
2_3_special_programs,Special Programs,2_3
2_3_other6,Other6,2_3
2_3_total,Total,2_3
2_4_peoples_republic_of_china1,People's Republic of China1,2_4
2_4_united_states_of_america,United States of America,2_4
2_4_united_kingdom,United Kingdom,2_4
2_4_republic_of_korea,Republic of Korea,2_4
2_4_japan,Japan,2_4
2_4_india,India,2_4
2_4_singapore,Singapore,2_4
2_4_malaysia,Malaysia,2_4
2_4_germany,Germany,2_4
2_4_taiwan,Taiwan,2_4
2_4_hong_kong_sar_of_the_prc2,Hong Kong (SAR of the PRC)2,2_4
2_4_canada,Canada,2_4
2_4_france,France,2_4
2_4_philippines,Philippines,2_4
2_4_indonesia,Indonesia,2_4
2_4_other3,Other3,2_4
2_4_total,Total,2_4
3_0_refugee,Refugee,3_0
3_0_special_humanitarian_program,Special Humanitarian Program,3_0
3_0_total,Total,3_0
3_0__of_total_program,% of total Program,3_0
3_0_total_1,Total_1,3_0
3_0__of_total_program_1,% of total Program_1,3_0
3_0_total_humanitarian_program_grants,Total Humanitarian Program grants,3_0
3_2_total,Total,3_2
3_2_female,Female,3_2
3_2_total_1,Total_1,3_2
3_2_female_1,Female_1,3_2
3_2_total_2,Total_2,3_2
3_2_female_2,Female_2,3_2
3_2_total_3,Total_3,3_2
3_2_female_3,Female_3,3_2
3_2_total_4,Total_4,3_2
3_2_female_4,Female_4,3_2
3_2_total_5,Total_5,3_2
3_2_female_5,Female_5,3_2
3_2_total_6,Total_6,3_2
3_2_female_6,Female_6,3_2
3_2_total_7,Total_7,3_2
3_2_female_7,Female_7,3_2
3_2_total_8,Total_8,3_2
3_2_female_8,Female_8,3_2
3_2_total_9,Total_9,3_2
3_2_female_9,Female_9,3_2
3_2_total_10,Total_10,3_2
3_2_female_10,Female_10,3_2
3_2_total1,Total1,3_2
3_2_female_11,Female_11,3_2
3_3_malaysia,Malaysia,3_3
3_3_myanmar,Myanmar,3_3
3_3_iran,Iran,3_3
3_3_peoples_republic_of_china1,People’s Republic of China1,3_3
3_3_pakistan,Pakistan,3_3
3_3_papua_new_guinea,Papua New Guinea,3_3
3_3_afghanistan,Afghanistan,3_3
3_3_yemen,Yemen,3_3
3_3_fiji,Fiji,3_3
3_3_vietnam,Vietnam,3_3
3_3_other,Other,3_3
3_3_total,Total,3_3
3_4_temporary_protection,Temporary Protection,3_4
3_4_safe_haven_enterprise,Safe Haven Enterprise,3_4
4_0_student,Student,4_0
4_0_temporary_resident,Temporary Resident,4_0
4_0_visitor,Visitor,4_0
4_0_working_holiday,Working Holiday,4_0
4_0_all_other_categories,All other categories,4_0
4_0_total,Total,4_0
4_1_peoples_republic_of_china1,People's Republic of China1,4_1
4_1_india,India,4_1
4_1_vietnam,Vietnam,4_1
4_1_united_kingdom,United Kingdom,4_1
4_1_united_states_of_america,United States of America,4_1
